"Comune";"Provincia";"Resa_perc";"Data_frangitura"
"Alassio";"SAVONA";18;2017-10-12
"Alassio";"SAVONA";22;2017-10-17
"Albenga";"SAVONA";22,5;2017-10-17
"Albisola Superiore";"SAVONA";16;2017-10-09
"Albisola Superiore";"SAVONA";17,4;2017-10-12
"Albissola Marina";"SAVONA";13;2017-09-30
"Ameglia";"LA SPEZIA";15;2017-10-17
"Ameglia";"LA SPEZIA";15;2017-10-17
"Andora";"SAVONA";21,6;2017-10-16
"Arcola";"LA SPEZIA";17;2017-10-17
"Arcola";"LA SPEZIA";11,7;2017-10-02
"Arcola";"LA SPEZIA";13;2017-10-04
"Arcola";"LA SPEZIA";13,7;2017-10-09
"Arcola";"LA SPEZIA";12,2;2017-10-07
"Arcola";"LA SPEZIA";18,5;2017-10-12
"Bolano";"LA SPEZIA";13;2017-10-07
"Bolano";"LA SPEZIA";14;2017-10-14
"Bolano";"LA SPEZIA";19;2017-10-25
"Camogli";"GENOVA";20;2017-10-14
"Camporosso";"IMPERIA";17;2017-10-13
"Camporosso";"IMPERIA";17;2017-10-13
"Castellaro";"IMPERIA";20;2017-10-13
"Castelnuovo Magra";"LA SPEZIA";13;2017-10-17
"Castelnuovo Magra";"LA SPEZIA";13,8;2017-10-07
"Castelnuovo Magra";"LA SPEZIA";12,5;2017-10-09
"Castelnuovo Magra";"LA SPEZIA";13,6;2017-10-10
"Celle Ligure";"SAVONA";17;2017-10-02
"Celle Ligure";"SAVONA";25;2017-10-21
"Celle Ligure";"SAVONA";19;2017-10-03
"Celle Ligure";"SAVONA";19;2017-10-04
"Celle Ligure";"SAVONA";22;2017-10-06
"Celle Ligure";"SAVONA";24;2017-10-10
"Celle Ligure";"SAVONA";19;2017-10-16
"Celle Ligure";"SAVONA";18;2017-10-08
"Celle Ligure";"SAVONA";20;2017-10-11
"Celle Ligure";"SAVONA";18;2017-10-13
"Celle Ligure";"SAVONA";18;2017-10-13
"Ceriale";"SAVONA";20;2017-10-20
"Ceriana";"IMPERIA";21,4;2017-10-09
"Ceriana";"IMPERIA";15,5;2017-10-17
"Chiavari";"GENOVA";19,9;2017-10-22
"Chiavari";"GENOVA";7;2017-10-05
"Chiavari";"GENOVA";22,1;2017-10-20
"Chiavari";"GENOVA";19,5;2017-10-09
"Chiavari";"GENOVA";20,1;2017-10-02
"Cogoleto";"GENOVA";14;2017-10-05
"Cogorno";"GENOVA";21,5;2017-10-16
"Cogorno";"GENOVA";17,4;2017-10-10
"Cogorno";"GENOVA";19,4;2017-10-12
"Costarainera";"IMPERIA";22,7;2017-10-14
"Costarainera";"IMPERIA";24;2017-10-21
"Deiva Marina";"LA SPEZIA";16,5;2017-10-05
"Diano Castello";"IMPERIA";17;2017-10-11
"Diano San Pietro";"IMPERIA";20,8;2017-10-10
"Dolcedo";"IMPERIA";15;2017-10-08
"Finale Ligure";"SAVONA";22;2017-10-13
"Finale Ligure";"SAVONA";24;2017-10-20
"Follo";"LA SPEZIA";21;2017-10-16
